name
11 de Abril
12 Septiembre
Alcalde Luis Pradenas
Antofagasta
Autopista Los Andes
Callejn Estadio
Callejn Mirador
Callejn Olegario Contreras
Callejn San Jorge
Camino Interior loteo Cabaas
Camino Troncal
Centro Vacacional El Palomar (Caja COmpensacin Los Andes)
Cerro Pascua
El Escorial
Ema Lobos Velsquez
Esperanza
Gabriela Mistral
Javiera Carrera
La Primavera
Las Chilcas
Los Castaos
Los Magnolios
Los Manzanos
Miraflores
Paradero 8
Pasaje El Quillay
Ruta E-421
Ruta E-603
Ruta E-605
Ruta E-611
Ruta E-639
Ruta E-643
Sendero a sector escalada
Sendero Colegio Alemn - Cumbre
Sendero Cumbre
Sendero La Chiricoca
Sendero La Giganta
Violeta Parra
