Antofagasta
Arica y Parinacota
Atacama
Aysén
Biobío
Coquimbo
La Auracanía
Los Lagos
Los Ríos
Magallanes y Antártica
Maule
Metropolitana
Ñuble
O´Higgins
Tarapacá
Valparaíso
