name
18 de Septiembre
21 de Mayo
Acceso a Livlcar
Acceso a Murmuntani
Alto Beln
Arica
Arturo Pérez Canto
Arturo Prat
Ascenso al Acotango II
Avenida El Peral
Avenida O'Higgins
Avenida Stretter
Baquedano
Bernalaardo O'Higgins
Callejn Vecinal
Camino a Chakana
Camino a Lluscuma
Camino a Mulluri
Camino a Tropero
Camino Chiriguaylla
Camino Paquisa
Camino Tropero
Carlos Condell
Carlos Ibaez del Campo
Carrera
Central
Chancacollo
Circunvalacin
Cvico
Cochrane
Condell
Cruce A-95 (Ancuta) - Cruce A-245 (Chua)
Cruce A-95 (Termas de Chiriguayllas) - Chiriguaylla
Esmeralda
Gabriela Mistral
General Baquedano
General Lagos
Gutijane
Huamachuco
Ingreso a Zapahuira
Iquique
Jos Miguel Carrera
Kaysacala
L. Barrios
Latorre
Lynch
Maip
Manuel Rodrguez
Marquirabe
Mumaypata
O'Higgins
Pasaje Las Rosas
Pasaje Serrano
Paseo Cvico
Pedro Aguirre Cerda
Pitacane
Prat
Qhapaq an
Riquelme
RN4: Frontera Chile-Tambo Quemado
Ruta 11 CH
Ruta A-117
Ruta A-119
Ruta A-125
Ruta A-129
Ruta A-141
Ruta A-145
Ruta A-147
Ruta A-149
Ruta A-151
Ruta A-153
Ruta A-155
Ruta A-159
Ruta A-181
Ruta A-201
Ruta A-205
Ruta A-207
Ruta A-211
Ruta A-213
Ruta A-227
Ruta A-23
Ruta A-231
Ruta A-233
Ruta A-235
Ruta A-237
Ruta A-245
Ruta A-247
Ruta A-249
Ruta A-253
Ruta A-31
Ruta A-317
Ruta A-319
Ruta A-327
Ruta A-353
Ruta Andina
San Francisco
San Martn
Santa Luca
Sargento Aldea
Senda Ascenso al Acotango
Sendero a Mirador 3,81 km
Sendero Lago Chungar
Sendero Las Cuevas
Sendero Parinacota
Serrano
Tambo
Teniente del Campo
Via de Acceso a la Mina de Azufre
Zona Andn Camiones
