name
21 de Mayo
Acceso Coronel Alcrreca
Arturo Pérez Canto
Arturo Prat
Baquedano
Calle Sur
Condell
Coronel Alcrreca
Eleuterio Ramrez
Estanislao del Campo
Gabriel Gonzálezez Videla
Gobernador Cobo
Huamachuco
Ignacio Carrera Pinto
Juan Jos Marn
Julio Montt Salamanca
La Concepcin
Luis Cruz Martnez
O'Higgins
Pasaje Julio Montt Salamanca
Pedro Lagos
Rafael Torreblanca
Ruta A-107
Ruta A-109
Ruta A-111
Ruta A-115
Ruta A-121
Ruta A-127
Ruta A-129
Ruta A-13
Ruta A-159
Ruta A-23
Ruta Andina
Ruta Naciónal 19
Sangra
